WH,Part,Description,Bin,Department,ResourceGrpID,Minimum
14,092036-10,RD MECH TUBE.625ODX.058WX1.44L,KID03R1,118,RG384,0
14,283700-01,TEAR DROP WLDMT,KID03R1,118,RG384,500
14,901024-13,"BOLT HEX FRAME .5-13X4.5""LG",KID03R1,118,RG384,300
14,901024-2,"BOLT HEX FRAME .5-13 X 1.75""LG",KID03R1,118,RG384,225
14,901024-5,"BOLT HEX FRAME .5-13 X 1.50"" LG",KID03R1,118,RG384,30
14,902000-16,"WASHER, FLAT .562 .063 THK",KID03R1,118,RG384,60
14,902000-7,"WASHER, FLAT .312 .032 THK",KID03R1,118,RG384,372
14,900820-01,"CARRIAGE BOLT SQUARE NECK 1/2""-13",KID03R1,118,RG384,300
14,030127,CARTON 16 X 12 X 10,KID03R1,118,RG384,
14,030329,"NUT, 5/8-11 ZINC",KID03R1,118,RG384,
14,030397,POLY BAG 6 X 10 X .006,KID03R1,118,RG384,
14,030955,"NUT, LOCK 3/8-16 GR.C ZINC",KID03R1,118,RG384,
14,040066,"NUT, LOCK 1/2-13 ZC",KID03R1,118,RG384,
14,040156,"NUT, LOCK 5/8-11 GR8",KID03R1,118,RG384,
14,211644-01,"CARTON BOX, 8 X 6 X 2",KID03R1,118,RG384,
14,225212,"CLAMP, MUD GUARD X 96""",KID03R1,118,RG384,
14,228953,PLASTIC BAG - MANUALS,KID03R1,118,RG384,
14,250433,POLY BAG 12 X 16 X .004 MIL,KID03R1,118,RG384,
14,251292,CARTON 32 X 6 X 6,KID03R1,118,RG384,
14,260589,CARTON 12 X 12 X 4,KID03R1,118,RG384,
14,262458,"BUSHING, P/F OPENER",KID03R1,118,RG384,
14,267047-01,"GROMMET,BATTERY BOX",KID03R1,118,RG384,
14,268182-01,"PLATE,PUMP MOUNT,P/D TUKS",KID03R1,118,RG384,
14,280568-01,"MANUAL BAG,9 X 12,ZIP LOCK",KID03R1,118,RG384,
14,281103-01,"DECAL WARNING,DUAL STEP",KID03R1,118,RG384,
14,283118-01,"BRACKET, LIC PL & LIGHT MOUNT",KID03R1,118,RG384,
14,283988-04,"SUPPORT,F/O",KID03R1,118,RG384,
14,288419-01,"CHANNEL, STEP MOUNT",KID03R1,118,RG384,
14,288688-01,"SUPPORT WLDMT, STEPS",KID03R1,118,RG384,
14,288690-21G,"DUAL STEP ASSY, FLEX, LH, 14""RBR BMPR,G",KID03R1,118,RG384,
14,288705-00-250,DRAWING PRINT (B SIZE 11X17),KID03R1,118,RG384,
14,288903-03,FLAT HR .19 X 1.25 X 9.89 LG,KID03R1,118,RG384,
14,289444-02,"3/8 U-BOLT, .88 X 2.38"" LG",KID03R1,118,RG384,
14,295118-01,"DECAL, TIRE RACK OPER INSTRUC",KID03R1,118,RG384,
